profile_id,latent_profile_id,condition,condition_replicate,gender,age,year_birth,age_band,race,education,income,party,state_fips,state_abbr
LP0336__oil-industry-misinformation__R1,LP0336,Oil industry misinformation,1,Male,58,1968,45-59,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Other,51,VA
LP0337__oil-industry-misinformation__R1,LP0337,Oil industry misinformation,1,Male,56,1970,45-59,Hispanic / Latino,Less than high school,"Less than $30,000",Democrat,06,CA
LP0338__oil-industry-misinformation__R1,LP0338,Oil industry misinformation,1,Male,50,1976,45-59,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,06,CA
LP0339__oil-industry-misinformation__R1,LP0339,Oil industry misinformation,1,Male,57,1969,45-59,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Republican,06,CA
LP0340__oil-industry-misinformation__R1,LP0340,Oil industry misinformation,1,Male,47,1979,45-59,Asian / Asian American,Bachelor's degree,"$168,000 or more",Republican,06,CA
LP0341__oil-industry-misinformation__R1,LP0341,Oil industry misinformation,1,Male,51,1975,45-59,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Republican,17,IL
LP0342__oil-industry-misinformation__R1,LP0342,Oil industry misinformation,1,Male,50,1976,45-59,Asian / Asian American,Less than high school,"$56,000 to $99,999",Independent,27,MN
LP0343__oil-industry-misinformation__R1,LP0343,Oil industry misinformation,1,Male,50,1976,45-59,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Republican,06,CA
LP0344__oil-industry-misinformation__R1,LP0344,Oil industry misinformation,1,Male,59,1967,45-59,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Republican,37,NC
LP0345__oil-industry-misinformation__R1,LP0345,Oil industry misinformation,1,Male,50,1976,45-59,Asian / Asian American,Bachelor's degree,"$168,000 or more",Independent,37,NC
LP0346__oil-industry-misinformation__R1,LP0346,Oil industry misinformation,1,Male,56,1970,45-59,Other,High school diploma / GED,"$168,000 or more",Republican,02,AK
LP0347__oil-industry-misinformation__R1,LP0347,Oil industry misinformation,1,Male,45,1981,45-59,Other,Master's degree / Professional degree,"$168,000 or more",Other,17,IL
LP0348__oil-industry-misinformation__R1,LP0348,Oil industry misinformation,1,Male,48,1978,45-59,Other,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,47,TN
LP0349__oil-industry-misinformation__R1,LP0349,Oil industry misinformation,1,Male,82,1944,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,46,SD
LP0350__oil-industry-misinformation__R1,LP0350,Oil industry misinformation,1,Male,79,1947,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,06,CA
LP0351__oil-industry-misinformation__R1,LP0351,Oil industry misinformation,1,Male,79,1947,60+,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Democrat,37,NC
LP0352__oil-industry-misinformation__R1,LP0352,Oil industry misinformation,1,Male,61,1965,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,55,WI
LP0353__oil-industry-misinformation__R1,LP0353,Oil industry misinformation,1,Male,80,1946,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,18,IN
LP0354__oil-industry-misinformation__R1,LP0354,Oil industry misinformation,1,Male,61,1965,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican,48,TX
LP0355__oil-industry-misinformation__R1,LP0355,Oil industry misinformation,1,Male,60,1966,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,29,MO
LP0356__oil-industry-misinformation__R1,LP0356,Oil industry misinformation,1,Male,78,1948,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent,33,NH
LP0357__oil-industry-misinformation__R1,LP0357,Oil industry misinformation,1,Male,74,1952,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,17,IL
LP0358__oil-industry-misinformation__R1,LP0358,Oil industry misinformation,1,Male,72,1954,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,23,ME
LP0359__oil-industry-misinformation__R1,LP0359,Oil industry misinformation,1,Male,73,1953,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,47,TN
LP0360__oil-industry-misinformation__R1,LP0360,Oil industry misinformation,1,Male,63,1963,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,26,MI
LP0361__oil-industry-misinformation__R1,LP0361,Oil industry misinformation,1,Male,72,1954,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,12,FL
LP0362__oil-industry-misinformation__R1,LP0362,Oil industry misinformation,1,Male,75,1951,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,41,OR
LP0363__oil-industry-misinformation__R1,LP0363,Oil industry misinformation,1,Male,76,1950,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,55,WI
LP0364__oil-industry-misinformation__R1,LP0364,Oil industry misinformation,1,Male,66,1960,60+,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent,26,MI
LP0365__oil-industry-misinformation__R1,LP0365,Oil industry misinformation,1,Male,82,1944,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,12,FL
LP0366__oil-industry-misinformation__R1,LP0366,Oil industry misinformation,1,Male,65,1961,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,56,WY
LP0367__oil-industry-misinformation__R1,LP0367,Oil industry misinformation,1,Male,68,1958,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent,13,GA
LP0368__oil-industry-misinformation__R1,LP0368,Oil industry misinformation,1,Male,72,1954,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,17,IL
LP0369__oil-industry-misinformation__R1,LP0369,Oil industry misinformation,1,Male,61,1965,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,13,GA
LP0370__oil-industry-misinformation__R1,LP0370,Oil industry misinformation,1,Male,62,1964,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,06,CA
LP0371__oil-industry-misinformation__R1,LP0371,Oil industry misinformation,1,Male,78,1948,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,19,IA
LP0372__oil-industry-misinformation__R1,LP0372,Oil industry misinformation,1,Male,74,1952,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,42,PA
LP0373__oil-industry-misinformation__R1,LP0373,Oil industry misinformation,1,Male,70,1956,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,24,MD
LP0374__oil-industry-misinformation__R1,LP0374,Oil industry misinformation,1,Male,65,1961,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,26,MI
LP0375__oil-industry-misinformation__R1,LP0375,Oil industry misinformation,1,Male,73,1953,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Other,53,WA
LP0376__oil-industry-misinformation__R1,LP0376,Oil industry misinformation,1,Male,66,1960,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,36,NY
LP0377__oil-industry-misinformation__R1,LP0377,Oil industry misinformation,1,Male,62,1964,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Other,36,NY
LP0378__oil-industry-misinformation__R1,LP0378,Oil industry misinformation,1,Male,65,1961,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,25,MA
LP0379__oil-industry-misinformation__R1,LP0379,Oil industry misinformation,1,Male,78,1948,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,48,TX
LP0380__oil-industry-misinformation__R1,LP0380,Oil industry misinformation,1,Male,77,1949,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,26,MI
LP0381__oil-industry-misinformation__R1,LP0381,Oil industry misinformation,1,Male,66,1960,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,17,IL
LP0382__oil-industry-misinformation__R1,LP0382,Oil industry misinformation,1,Male,79,1947,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,36,NY
LP0383__oil-industry-misinformation__R1,LP0383,Oil industry misinformation,1,Male,60,1966,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,42,PA
LP0384__oil-industry-misinformation__R1,LP0384,Oil industry misinformation,1,Male,92,1934,60+,White / Caucasian,Less than high school,"Less than $30,000",Independent,48,TX
LP0385__oil-industry-misinformation__R1,LP0385,Oil industry misinformation,1,Male,66,1960,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Republican,29,MO
LP0386__oil-industry-misinformation__R1,LP0386,Oil industry misinformation,1,Male,70,1956,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,53,WA
LP0387__oil-industry-misinformation__R1,LP0387,Oil industry misinformation,1,Male,76,1950,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,54,WV
LP0388__oil-industry-misinformation__R1,LP0388,Oil industry misinformation,1,Male,63,1963,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,05,AR
LP0389__oil-industry-misinformation__R1,LP0389,Oil industry misinformation,1,Male,73,1953,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,48,TX
LP0390__oil-industry-misinformation__R1,LP0390,Oil industry misinformation,1,Male,68,1958,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,09,CT
LP0391__oil-industry-misinformation__R1,LP0391,Oil industry misinformation,1,Male,76,1950,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,06,CA
LP0392__oil-industry-misinformation__R1,LP0392,Oil industry misinformation,1,Male,64,1962,60+,White / Caucasian,Doctorate degree / Ph.D.,"$168,000 or more",Democrat,42,PA
LP0393__oil-industry-misinformation__R1,LP0393,Oil industry misinformation,1,Male,76,1950,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,39,OH
LP0394__oil-industry-misinformation__R1,LP0394,Oil industry misinformation,1,Male,86,1940,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,21,KY
LP0395__oil-industry-misinformation__R1,LP0395,Oil industry misinformation,1,Male,70,1956,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent,06,CA
LP0396__oil-industry-misinformation__R1,LP0396,Oil industry misinformation,1,Male,78,1948,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,24,MD
LP0397__oil-industry-misinformation__R1,LP0397,Oil industry misinformation,1,Male,63,1963,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,48,TX
LP0398__oil-industry-misinformation__R1,LP0398,Oil industry misinformation,1,Male,75,1951,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,16,ID
LP0399__oil-industry-misinformation__R1,LP0399,Oil industry misinformation,1,Male,72,1954,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,04,AZ
LP0400__oil-industry-misinformation__R1,LP0400,Oil industry misinformation,1,Male,60,1966,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,27,MN
LP0401__oil-industry-misinformation__R1,LP0401,Oil industry misinformation,1,Male,60,1966,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,23,ME
LP0402__oil-industry-misinformation__R1,LP0402,Oil industry misinformation,1,Male,66,1960,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,35,NM
LP0403__oil-industry-misinformation__R1,LP0403,Oil industry misinformation,1,Male,68,1958,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,51,VA
LP0404__oil-industry-misinformation__R1,LP0404,Oil industry misinformation,1,Male,76,1950,60+,White / Caucasian,Doctorate degree / Ph.D.,"$168,000 or more",Independent,09,CT
LP0405__oil-industry-misinformation__R1,LP0405,Oil industry misinformation,1,Male,62,1964,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,47,TN
LP0406__oil-industry-misinformation__R1,LP0406,Oil industry misinformation,1,Male,66,1960,60+,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent,13,GA
LP0407__oil-industry-misinformation__R1,LP0407,Oil industry misinformation,1,Male,75,1951,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,48,TX
LP0408__oil-industry-misinformation__R1,LP0408,Oil industry misinformation,1,Male,65,1961,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,36,NY
LP0409__oil-industry-misinformation__R1,LP0409,Oil industry misinformation,1,Male,63,1963,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,47,TN
LP0410__oil-industry-misinformation__R1,LP0410,Oil industry misinformation,1,Male,60,1966,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,55,WI
LP0411__oil-industry-misinformation__R1,LP0411,Oil industry misinformation,1,Male,63,1963,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Other,39,OH
LP0412__oil-industry-misinformation__R1,LP0412,Oil industry misinformation,1,Male,72,1954,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,54,WV
LP0413__oil-industry-misinformation__R1,LP0413,Oil industry misinformation,1,Male,78,1948,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,06,CA
LP0414__oil-industry-misinformation__R1,LP0414,Oil industry misinformation,1,Male,76,1950,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican,01,AL
LP0415__oil-industry-misinformation__R1,LP0415,Oil industry misinformation,1,Male,67,1959,60+,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,45,SC
LP0416__oil-industry-misinformation__R1,LP0416,Oil industry misinformation,1,Male,74,1952,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Other,47,TN
LP0417__oil-industry-misinformation__R1,LP0417,Oil industry misinformation,1,Male,75,1951,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,35,NM
LP0418__oil-industry-misinformation__R1,LP0418,Oil industry misinformation,1,Male,60,1966,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,38,ND
LP0419__oil-industry-misinformation__R1,LP0419,Oil industry misinformation,1,Male,81,1945,60+,White / Caucasian,Less than high school,"Less than $30,000",Independent,25,MA
LP0420__oil-industry-misinformation__R1,LP0420,Oil industry misinformation,1,Male,62,1964,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Other,20,KS
LP0421__oil-industry-misinformation__R1,LP0421,Oil industry misinformation,1,Male,71,1955,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,51,VA
LP0422__oil-industry-misinformation__R1,LP0422,Oil industry misinformation,1,Male,63,1963,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,12,FL
LP0423__oil-industry-misinformation__R1,LP0423,Oil industry misinformation,1,Male,61,1965,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,18,IN
LP0424__oil-industry-misinformation__R1,LP0424,Oil industry misinformation,1,Male,74,1952,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,53,WA
LP0425__oil-industry-misinformation__R1,LP0425,Oil industry misinformation,1,Male,62,1964,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,53,WA
LP0426__oil-industry-misinformation__R1,LP0426,Oil industry misinformation,1,Male,64,1962,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent,48,TX
LP0427__oil-industry-misinformation__R1,LP0427,Oil industry misinformation,1,Male,62,1964,60+,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Independent,48,TX
LP0428__oil-industry-misinformation__R1,LP0428,Oil industry misinformation,1,Male,62,1964,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,39,OH
LP0429__oil-industry-misinformation__R1,LP0429,Oil industry misinformation,1,Male,65,1961,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,36,NY
LP0430__oil-industry-misinformation__R1,LP0430,Oil industry misinformation,1,Male,72,1954,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,18,IN
LP0431__oil-industry-misinformation__R1,LP0431,Oil industry misinformation,1,Male,69,1957,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Other,48,TX
LP0432__oil-industry-misinformation__R1,LP0432,Oil industry misinformation,1,Male,70,1956,60+,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Independent,17,IL
LP0433__oil-industry-misinformation__R1,LP0433,Oil industry misinformation,1,Male,82,1944,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,45,SC
LP0434__oil-industry-misinformation__R1,LP0434,Oil industry misinformation,1,Male,72,1954,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,13,GA
LP0435__oil-industry-misinformation__R1,LP0435,Oil industry misinformation,1,Male,60,1966,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,55,WI
LP0436__oil-industry-misinformation__R1,LP0436,Oil industry misinformation,1,Male,76,1950,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,48,TX
LP0437__oil-industry-misinformation__R1,LP0437,Oil industry misinformation,1,Male,66,1960,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,17,IL
LP0438__oil-industry-misinformation__R1,LP0438,Oil industry misinformation,1,Male,68,1958,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,12,FL
LP0439__oil-industry-misinformation__R1,LP0439,Oil industry misinformation,1,Male,64,1962,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,12,FL
LP0440__oil-industry-misinformation__R1,LP0440,Oil industry misinformation,1,Male,66,1960,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,42,PA
LP0441__oil-industry-misinformation__R1,LP0441,Oil industry misinformation,1,Male,79,1947,60+,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Republican,55,WI
LP0442__oil-industry-misinformation__R1,LP0442,Oil industry misinformation,1,Male,60,1966,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,42,PA
LP0443__oil-industry-misinformation__R1,LP0443,Oil industry misinformation,1,Male,72,1954,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,37,NC
LP0444__oil-industry-misinformation__R1,LP0444,Oil industry misinformation,1,Male,77,1949,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Other,19,IA
LP0445__oil-industry-misinformation__R1,LP0445,Oil industry misinformation,1,Male,69,1957,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,53,WA
LP0446__oil-industry-misinformation__R1,LP0446,Oil industry misinformation,1,Male,80,1946,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,42,PA
LP0447__oil-industry-misinformation__R1,LP0447,Oil industry misinformation,1,Male,66,1960,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,42,PA
LP0448__oil-industry-misinformation__R1,LP0448,Oil industry misinformation,1,Male,73,1953,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,54,WV
LP0449__oil-industry-misinformation__R1,LP0449,Oil industry misinformation,1,Male,62,1964,60+,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican,36,NY
LP0450__oil-industry-misinformation__R1,LP0450,Oil industry misinformation,1,Male,65,1961,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,53,WA
LP0451__oil-industry-misinformation__R1,LP0451,Oil industry misinformation,1,Male,82,1944,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,55,WI
LP0452__oil-industry-misinformation__R1,LP0452,Oil industry misinformation,1,Male,62,1964,60+,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,48,TX
LP0453__oil-industry-misinformation__R1,LP0453,Oil industry misinformation,1,Male,61,1965,60+,Black / African American,Less than high school,"Less than $30,000",Democrat,36,NY
LP0454__oil-industry-misinformation__R1,LP0454,Oil industry misinformation,1,Male,72,1954,60+,Black / African American,Less than high school,"$100,000 to $167,999",Democrat,48,TX
LP0455__oil-industry-misinformation__R1,LP0455,Oil industry misinformation,1,Male,67,1959,60+,Black / African American,Some college or Associate's degree,"$168,000 or more",Republican,13,GA
LP0456__oil-industry-misinformation__R1,LP0456,Oil industry misinformation,1,Male,61,1965,60+,Black / African American,Some college or Associate's degree,"Less than $30,000",Democrat,48,TX
LP0457__oil-industry-misinformation__R1,LP0457,Oil industry misinformation,1,Male,65,1961,60+,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent,04,AZ
LP0458__oil-industry-misinformation__R1,LP0458,Oil industry misinformation,1,Male,66,1960,60+,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent,13,GA
LP0459__oil-industry-misinformation__R1,LP0459,Oil industry misinformation,1,Male,65,1961,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,34,NJ
LP0460__oil-industry-misinformation__R1,LP0460,Oil industry misinformation,1,Male,79,1947,60+,Black / African American,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,11,DC
LP0461__oil-industry-misinformation__R1,LP0461,Oil industry misinformation,1,Male,62,1964,60+,Black / African American,Some college or Associate's degree,"$168,000 or more",Democrat,06,CA
LP0462__oil-industry-misinformation__R1,LP0462,Oil industry misinformation,1,Male,79,1947,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,17,IL
LP0463__oil-industry-misinformation__R1,LP0463,Oil industry misinformation,1,Male,62,1964,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,42,PA
LP0464__oil-industry-misinformation__R1,LP0464,Oil industry misinformation,1,Male,61,1965,60+,Black / African American,High school diploma / GED,"$168,000 or more",Independent,48,TX
LP0465__oil-industry-misinformation__R1,LP0465,Oil industry misinformation,1,Male,61,1965,60+,Black / African American,Some college or Associate's degree,"$100,000 to $167,999",Independent,13,GA
LP0466__oil-industry-misinformation__R1,LP0466,Oil industry misinformation,1,Male,88,1938,60+,Black / African American,High school diploma / GED,"$30,000 to $55,999",Democrat,12,FL
LP0467__oil-industry-misinformation__R1,LP0467,Oil industry misinformation,1,Male,66,1960,60+,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Democrat,48,TX
LP0468__oil-industry-misinformation__R1,LP0468,Oil industry misinformation,1,Male,83,1943,60+,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Independent,06,CA
LP0469__oil-industry-misinformation__R1,LP0469,Oil industry misinformation,1,Male,78,1948,60+,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Republican,13,GA
LP0470__oil-industry-misinformation__R1,LP0470,Oil industry misinformation,1,Male,66,1960,60+,Hispanic / Latino,Less than high school,"$100,000 to $167,999",Republican,06,CA
LP0471__oil-industry-misinformation__R1,LP0471,Oil industry misinformation,1,Male,64,1962,60+,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Democrat,48,TX
LP0472__oil-industry-misinformation__R1,LP0472,Oil industry misinformation,1,Male,64,1962,60+,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican,06,CA
LP0473__oil-industry-misinformation__R1,LP0473,Oil industry misinformation,1,Male,71,1955,60+,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Independent,12,FL
LP0474__oil-industry-misinformation__R1,LP0474,Oil industry misinformation,1,Male,62,1964,60+,Hispanic / Latino,Master's degree / Professional degree,"$168,000 or more",Independent,35,NM
LP0475__oil-industry-misinformation__R1,LP0475,Oil industry misinformation,1,Male,64,1962,60+,Hispanic / Latino,Bachelor's degree,"Less than $30,000",Democrat,55,WI
LP0476__oil-industry-misinformation__R1,LP0476,Oil industry misinformation,1,Male,65,1961,60+,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Independent,12,FL
LP0477__oil-industry-misinformation__R1,LP0477,Oil industry misinformation,1,Male,81,1945,60+,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent,12,FL
LP0478__oil-industry-misinformation__R1,LP0478,Oil industry misinformation,1,Male,71,1955,60+,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Democrat,09,CT
LP0479__oil-industry-misinformation__R1,LP0479,Oil industry misinformation,1,Male,69,1957,60+,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat,06,CA
LP0480__oil-industry-misinformation__R1,LP0480,Oil industry misinformation,1,Male,71,1955,60+,Hispanic / Latino,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,36,NY
LP0481__oil-industry-misinformation__R1,LP0481,Oil industry misinformation,1,Male,61,1965,60+,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Independent,04,AZ
LP0482__oil-industry-misinformation__R1,LP0482,Oil industry misinformation,1,Male,61,1965,60+,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,27,MN
LP0483__oil-industry-misinformation__R1,LP0483,Oil industry misinformation,1,Male,70,1956,60+,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Republican,48,TX
LP0484__oil-industry-misinformation__R1,LP0484,Oil industry misinformation,1,Male,64,1962,60+,Asian / Asian American,Bachelor's degree,"$168,000 or more",Republican,06,CA
LP0485__oil-industry-misinformation__R1,LP0485,Oil industry misinformation,1,Male,62,1964,60+,Asian / Asian American,Master's degree / Professional degree,"$168,000 or more",Republican,48,TX
LP0486__oil-industry-misinformation__R1,LP0486,Oil industry misinformation,1,Male,60,1966,60+,Asian / Asian American,Doctorate degree / Ph.D.,"$168,000 or more",Independent,08,CO
LP0487__oil-industry-misinformation__R1,LP0487,Oil industry misinformation,1,Male,71,1955,60+,Asian / Asian American,Doctorate degree / Ph.D.,"$100,000 to $167,999",Republican,25,MA
LP0488__oil-industry-misinformation__R1,LP0488,Oil industry misinformation,1,Male,73,1953,60+,Asian / Asian American,Doctorate degree / Ph.D.,"$56,000 to $99,999",Independent,06,CA
LP0489__oil-industry-misinformation__R1,LP0489,Oil industry misinformation,1,Male,67,1959,60+,Other,High school diploma / GED,"$56,000 to $99,999",Independent,45,SC
LP0490__oil-industry-misinformation__R1,LP0490,Oil industry misinformation,1,Male,74,1952,60+,Other,Some college or Associate's degree,"$56,000 to $99,999",Independent,01,AL
LP0491__oil-industry-misinformation__R1,LP0491,Oil industry misinformation,1,Female,19,2007,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Other,12,FL
LP0492__oil-industry-misinformation__R1,LP0492,Oil industry misinformation,1,Female,21,2005,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,16,ID
LP0493__oil-industry-misinformation__R1,LP0493,Oil industry misinformation,1,Female,24,2002,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,54,WV
LP0494__oil-industry-misinformation__R1,LP0494,Oil industry misinformation,1,Female,20,2006,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,13,GA
LP0495__oil-industry-misinformation__R1,LP0495,Oil industry misinformation,1,Female,25,2001,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,42,PA
LP0496__oil-industry-misinformation__R1,LP0496,Oil industry misinformation,1,Female,27,1999,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,51,VA
LP0497__oil-industry-misinformation__R1,LP0497,Oil industry misinformation,1,Female,25,2001,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,47,TN
LP0498__oil-industry-misinformation__R1,LP0498,Oil industry misinformation,1,Female,23,2003,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Other,41,OR
